date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
2017-12-28,1750645.49494,230,660837000.0,324.47,1343160.0,
2017-12-29,3652502.4836,283,630956000.0,309.8,1810640.0,
2017-12-30,1854594.49093,225,723459000.0,355.22,1431870.0,
2017-12-31,1177890.29628,197,684044000.0,335.87,1244940.0,
2018-01-01,3237996.81253,217,688682000.0,338.14,890956.0,
2018-01-02,26650674.2728,253,700169000.0,343.79,2011340.0,
2018-01-03,986879.568285,142,770974000.0,378.55,1000590.0,
2018-01-04,2454856.23606,134,766957000.0,376.58,734384.0,
2018-01-05,2983484.66097,140,746285000.0,366.43,426543.0,
2018-01-06,1742682.85652,168,760299000.0,373.31,465537.0,
2018-01-07,2954750.74741,223,768932000.0,377.55,822460.0,
2018-01-08,22603520.7053,202,817064000.0,401.18,1136510.0,
2018-01-09,2071678.15783,169,855222000.0,419.92,502374.0,
2018-01-10,1530985.71569,132,955178000.0,469.0,846642.0,
2018-01-11,1407869.39038,143,933584000.0,458.39,656849.0,
2018-01-12,1620675.17285,131,811273000.0,398.34,373583.0,
2018-01-13,2274639.92989,133,853113000.0,418.88,489287.0,
2018-01-14,1400103.18993,167,892416000.0,438.18,327155.0,
2018-01-15,2648644.14852,107,832396000.0,408.71,509700.0,
2018-01-16,1100323.31853,136,805803000.0,395.65,656337.0,
2018-01-17,1284920.92329,152,666782000.0,327.39,677491.0,
2018-01-18,1706630.02089,265,637408000.0,312.97,822200.0,
2018-01-19,1539871.23077,222,701647000.0,344.51,889892.0,
2018-01-20,5325277.68525,223,846343000.0,415.56,1641620.0,
2018-01-21,2359536.816,192,875732000.0,429.99,818717.0,
2018-01-22,999709.511369,160,779427000.0,382.7,613026.0,
2018-01-23,823826.15982,156,735650000.0,361.21,612023.0,
2018-01-24,1253745.30321,164,707455000.0,347.36,789267.0,
2018-01-25,10522889.2864,142,765093000.0,375.66,1176550.0,
2018-01-26,14216639.639,116,788757000.0,387.28,985983.0,
2018-01-27,921163.139988,108,758416000.0,372.38,505141.0,
2018-01-28,4053347.03678,186,780614000.0,383.28,1059580.0,
2018-01-29,59732429.8729,152,817401000.0,401.35,809086.0,
2018-01-30,2090798.18055,195,826365000.0,405.75,963779.0,
2018-01-31,4932601.85143,112,738090000.0,362.4,617816.0,
2018-02-01,1781430.63643,148,824815000.0,404.99,553054.0,
2018-02-02,1220274.89518,151,717050000.0,352.07,861162.0,
2018-02-03,1592784.83822,164,677584000.0,332.7,735091.0,
2018-02-04,708163.35062,108,714802000.0,350.97,462325.0,
2018-02-05,919956.584609,115,627295000.0,308.0,555309.0,
2018-02-06,1115668.60675,164,499996000.0,245.5,1020650.0,
2018-02-07,1056459.40378,129,558882000.0,274.41,552699.0,
2018-02-08,1727668.03154,121,545495000.0,267.84,492661.0,
2018-02-09,1383201.35029,130,568265000.0,279.02,143917.0,
